transaction_id,customer_id,product_id,quantity,timestamp
584082,1065,229,1,2025-06-10 07:21:36.673631
3640270,1090,230,9,2025-04-27 09:07:36.673631
1738845,1046,204,2,2025-05-12 23:15:36.673631
2084990,1083,209,2,2025-04-22 11:51:36.673631
4130194,1073,207,5,2025-05-04 15:35:36.673631
8866886,1049,244,4,2025-05-07 15:28:36.673631
9285891,1040,217,2,2025-04-15 08:02:36.673631
1711597,1070,228,6,2025-06-06 18:50:36.673631
4440247,1013,203,4,2025-05-10 05:27:36.673631
7260988,1057,249,8,2025-04-26 00:04:36.673631
9684883,1049,241,4,2025-04-14 20:16:36.673631
694165,1020,217,3,2025-06-15 02:22:36.673631
3910338,1085,247,2,2025-04-13 12:06:36.673631
281632,1026,232,5,2025-06-13 09:07:36.673631
308358,1077,225,5,2025-04-17 00:46:36.673631
492762,1096,210,3,2025-04-14 18:33:36.673631
8803768,1001,233,3,2025-04-30 01:12:36.673631
9959504,1021,248,7,2025-05-05 02:26:36.673631
4975503,1066,239,8,2025-04-29 12:12:36.673631
7701708,1021,228,7,2025-04-30 13:42:36.673631
4604339,1070,205,10,2025-06-08 19:23:36.673631
8144607,1061,241,9,2025-06-16 02:50:36.673631
9546850,1068,243,6,2025-05-28 18:53:36.673631
8776443,1085,232,10,2025-04-17 21:25:36.673631
8500827,1005,218,10,2025-04-16 20:04:36.673631
4823894,1056,243,4,2025-06-02 19:16:36.673631
8076544,1018,246,3,2025-06-07 08:57:36.673631
7760894,1054,240,1,2025-04-22 11:05:36.673631
3319739,1088,203,5,2025-06-14 20:36:36.673631
6458496,1021,220,4,2025-05-23 11:59:36.673631
7222360,1039,233,10,2025-06-16 03:13:36.673631
3019012,1098,241,9,2025-05-15 23:42:36.673631
2972319,1015,232,3,2025-04-19 06:36:36.673631
4438371,1033,237,2,2025-05-10 20:13:36.673631
4722701,1098,217,10,2025-04-08 10:07:36.673631
4487064,1048,243,4,2025-05-29 04:17:36.673631
4550747,1066,214,3,2025-05-10 06:19:36.673631
8349282,1079,247,6,2025-06-01 14:37:36.673631
5270916,1095,236,8,2025-05-28 08:20:36.673631
1960084,1024,233,1,2025-04-13 06:33:36.673631
6130885,1061,250,7,2025-05-06 02:09:36.673631
3574708,1018,248,4,2025-05-16 07:47:36.673631
8316949,1048,217,1,2025-05-24 22:08:36.673631
8337826,1096,238,6,2025-05-13 22:25:36.673631
4685482,1052,217,9,2025-05-11 23:08:36.673631
4639703,1009,205,2,2025-04-11 17:16:36.673631
1299213,1031,243,2,2025-04-28 19:20:36.673631
5672070,1080,206,8,2025-06-12 03:04:36.673631
4001142,1031,235,3,2025-05-07 03:14:36.673631
3654530,1010,221,4,2025-04-10 05:25:36.673631
837713,1099,224,8,2025-05-10 03:56:36.673631
4086293,1069,237,1,2025-05-27 02:29:36.673631
3810283,1059,219,8,2025-04-12 20:31:36.673631
3768985,1040,232,4,2025-04-13 11:21:36.673631
5323111,1073,201,7,2025-04-26 16:15:36.673631
5495756,1050,210,1,2025-05-08 09:32:36.673631
2543846,1025,204,1,2025-04-12 07:49:36.673631
4179420,1040,232,2,2025-04-11 21:43:36.673631
5776479,1092,249,8,2025-06-02 22:27:36.673631
2378401,1069,235,6,2025-05-21 07:34:36.673631
8087261,1061,225,4,2025-05-27 21:17:36.673631
2800720,1066,205,10,2025-05-21 10:47:36.673631
1471566,1098,235,7,2025-04-24 17:49:36.673631
7608982,1038,248,2,2025-05-15 00:04:36.673631
7250228,1015,243,3,2025-05-24 06:07:36.673631
8361151,1044,247,3,2025-05-12 02:17:36.673631
469193,1092,233,9,2025-04-14 07:33:36.673631
5719632,1040,248,3,2025-06-15 05:40:36.673631
7120446,1014,211,3,2025-05-17 09:38:36.673631
7931674,1004,234,1,2025-04-19 21:20:36.673631
8338356,1031,241,9,2025-06-09 06:23:36.673631
2269872,1064,247,8,2025-05-07 20:06:36.673631
2179176,1004,237,8,2025-04-10 20:45:36.673631
9996634,1083,239,6,2025-06-16 10:36:36.673631
3639398,1002,231,9,2025-06-09 19:45:36.673631
221668,1085,248,8,2025-04-16 23:37:36.673631
4879588,1004,240,9,2025-05-26 04:59:36.673631
147853,1033,229,6,2025-06-01 01:42:36.673631
6132511,1084,241,7,2025-05-17 12:21:36.673631
